Action,EntityType,EntityID,ChangedBy,ChangedOn,Details
Create,Employee,EMP0008,katarina.bielikova@contoso.sk,2026-06-04T07:04,Založený profil zamestnanca Tomáš Sokol (EMP0008).
Create,TrainingRecord,TR-0250,katarina.bielikova@contoso.sk,2026-05-25T08:04,Pridaný záznam školenia 'Ochrana pred požiarmi' pre zamestnanca Filip Baláž (EMP0037).
Create,Employee,EMP0034,katarina.bielikova@contoso.sk,2026-05-22T14:12,Založený profil zamestnanca Štefan Lukáč (EMP0034).
Create,TrainingRecord,TR-0170,katarina.bielikova@contoso.sk,2026-05-20T14:55,Pridaný záznam školenia 'Vodič referentského vozidla' pre zamestnanca Kristína Bednárová (EMP0024).
Create,TrainingRecord,TR-0226,katarina.bielikova@contoso.sk,2026-05-12T09:20,Pridaný záznam školenia 'Ochrana pred požiarmi' pre zamestnanca Štefan Lukáč (EMP0034).
Create,TrainingRecord,TR-0198,katarina.bielikova@contoso.sk,2026-05-11T12:46,Pridaný záznam školenia 'Ochrana pred požiarmi' pre zamestnanca Adriana Nováková (EMP0029).
Create,TrainingRecord,TR-0174,katarina.bielikova@contoso.sk,2026-05-06T16:24,Pridaný záznam školenia 'Ochrana pred požiarmi' pre zamestnanca Jana Horváthová (EMP0025).
Create,TrainingRecord,TR-0195,katarina.bielikova@contoso.sk,2026-05-02T09:58,Pridaný záznam školenia 'Prezentačné zručnosti' pre zamestnanca Simona Šusterová (EMP0028).
Create,TrainingRecord,TR-0321,katarina.bielikova@contoso.sk,2026-04-30T10:49,Pridaný záznam školenia 'BOZP – vstupné školenie' pre zamestnanca Lenka Čierna (EMP0047).
Create,TrainingRecord,TR-0258,katarina.bielikova@contoso.sk,2026-04-24T10:51,Pridaný záznam školenia 'BOZP – vstupné školenie' pre zamestnanca Zuzana Gajdošová (EMP0038).
Create,TrainingRecord,TR-0241,katarina.bielikova@contoso.sk,2026-04-23T07:38,Pridaný záznam školenia 'BOZP – vstupné školenie' pre zamestnanca Juraj Fabian (EMP0036).
Create,TrainingRecord,TR-0078,katarina.bielikova@contoso.sk,2026-04-16T15:12,Pridaný záznam školenia 'Ochrana pred požiarmi' pre zamestnanca Igor Bednár (EMP0012).
Create,TrainingRecord,TR-0254,katarina.bielikova@contoso.sk,2026-04-15T14:16,Pridaný záznam školenia 'Práca vo výškach' pre zamestnanca Filip Baláž (EMP0037).
Create,TrainingRecord,TR-0074,katarina.bielikova@contoso.sk,2026-04-15T11:23,Pridaný záznam školenia 'Prvá pomoc na pracovisku' pre zamestnanca Monika Šusterová (EMP0011).
Update,Employee,EMP0033,katarina.bielikova@contoso.sk,2026-04-14T10:06,Zmena stavu zamestnanca Petra Kováčiková na Inactive (soft-delete).
Create,TrainingRecord,TR-0080,katarina.bielikova@contoso.sk,2026-04-13T12:48,Pridaný záznam školenia 'Kybernetická bezpečnosť' pre zamestnanca Igor Bednár (EMP0012).
Create,TrainingRecord,TR-0270,katarina.bielikova@contoso.sk,2026-04-13T12:18,Pridaný záznam školenia 'Kybernetická bezpečnosť' pre zamestnanca Dušan Gajdoš (EMP0040).
Create,TrainingRecord,TR-0303,katarina.bielikova@contoso.sk,2026-04-04T10:24,Pridaný záznam školenia 'Kybernetická bezpečnosť' pre zamestnanca Dominika Balážová (EMP0044).
Create,TrainingRecord,TR-0042,katarina.bielikova@contoso.sk,2026-03-25T11:46,Pridaný záznam školenia 'Etický kódex a compliance' pre zamestnanca Milan Urban (EMP0006).
Create,TrainingRecord,TR-0052,katarina.bielikova@contoso.sk,2026-03-23T13:29,Pridaný záznam školenia 'ISO 9001 interný audítor' pre zamestnanca Eva Tóthová (EMP0007).
Create,TrainingRecord,TR-0169,katarina.bielikova@contoso.sk,2026-03-23T12:17,Pridaný záznam školenia 'Etický kódex a compliance' pre zamestnanca Kristína Bednárová (EMP0024).
Create,TrainingRecord,TR-0274,katarina.bielikova@contoso.sk,2026-03-22T15:03,Pridaný záznam školenia 'Prvá pomoc na pracovisku' pre zamestnanca Dušan Gajdoš (EMP0040).
Create,TrainingRecord,TR-0210,katarina.bielikova@contoso.sk,2026-03-21T10:16,Pridaný záznam školenia 'BOZP – vstupné školenie' pre zamestnanca Roman Rybár (EMP0031).
Create,TrainingRecord,TR-0008,katarina.bielikova@contoso.sk,2026-03-16T08:50,Pridaný záznam školenia 'Anglický jazyk B2 – konverzácie' pre zamestnanca Katarína Bieliková (EMP0001).
Create,TrainingRecord,TR-0136,katarina.bielikova@contoso.sk,2026-03-13T12:59,Pridaný záznam školenia 'Ochrana pred požiarmi' pre zamestnanca Richard Horváth (EMP0020).
