Number_1;Number_2;Date_1;Date_2;Name;Surname;City;Full_Name;Phone
15,26;-12,55;09.04.2020;19.02.2020;Jana;Válková;Praha 5_;Jana Válková;743097622
19,7;-6,82;24.08.2020;01.08.2020;Petra;Klimentová;    Praha - Kobylisy;Petra Klimentová;704298681
17,58;1,36;12.06.2020;12.08.2020;Jakub;Říha;__Letovice;Jakub Říha;718821904
0,09;-14,58;18.10.2020;16.08.2019;Jan;Malíský;;Jan Malíský;741905763
12,4;11,66;17.12.2019;10.03.2020;Petr;Hofbauer;;Petr Hofbauer;723663056
17,56;-12,75;04.08.2020;22.06.2019;;Havlová;  _Bánov _;Hana Havlová;
0,31;-16,65;21.11.2020;14.04.2019;Dagmar;;     Praha  Čakovice;Dagmar Nováková;739332489
-6,35;19,63;30.01.2020;24.01.2020;Oldřich;Vejřík;Benátky nad Jizerou;Oldřich Vejřík;740618173
11,42;0,94;27.12.2019;21.04.2020;Lenka;Hniková;;Lenka Hniková;730715163
-2,08;-14,56;05.09.2019;30.03.2019;Veronika;Konečná;  Bukovany _ ;Veronika Konečná;727812566
5,03;-17,24;16.02.2020;13.08.2019;;;          Soběšín;;701307776
0,01;10,4;08.11.2019;06.04.2019;Aleš;Poslušný;  Beroun;Aleš Poslušný;
17,29;-15,53;22.11.2020;13.10.2019;Marcela;Špalková;;Marcela Špalková;725991533
-13,08;0,38;26.08.2019;26.04.2020;;;;;704771184
1,16;-17,77;04.10.2019;23.07.2019;Jitka;Maťátková;_  Beroun;Jitka Maťátková;
6,81;8,49;24.12.2019;26.02.2020;Adam;Steklý;_ Beroun;Adam Steklý;718102355
-0,67;17,1;08.06.2019;29.08.2020;Lenka;Musilová;Brno – Štýřice;Lenka Musilová;726052407
12,51;19,76;18.08.2019;19.02.2019;Hana;Hrabovská;Brno - Trnitá;Hana Hrabovská;
3,61;4,03;19.01.2020;24.09.2019;Barbora;Sedláková;   Brno - Turany;Barbora Sedláková;718992164
5,68;13,83;22.06.2019;03.02.2020;Barbora;Sedláková;Brno - Tuřany;Barbora Sedláková;721266336
-13,67;-18;29.03.2020;20.06.2019;Lucie;Chalusová;Plzeň - Jížní předměstí;Lucie Chalusová;735107990
17,39;5,46;25.05.2020;21.08.2020;Cecílie;;;Cecílie ;725830210
